Словоформа	Часть речи
кто-нибудь	PRON
садился	VERB
если	SCONJ
видел	VERB
отодвинутый	VERB
стул	NOUN
то	PART
собственноручно	ADV
подвигал	VERB
место	NOUN
спинки	NOUN
образовывали	VERB
ровную	ADJ
прямую	ADJ
линию	NOUN
тот	DET
день	NOUN
которого	PRON
начинается	VERB
наш	DET
рассказ	NOUN
жизнь	NOUN
протекала	VERB
обычно	ADV
секретарша	NOUN
ставила	VERB
сургучные	ADJ
печати	NOUN
пакет	NOUN
своей	DET
очереди	NOUN
сентиментальный	ADJ
вальс	NOUN
ровно	ADJ
десять	NUM
часов	NOUN
раздался	VERB
короткий	ADJ
звонок	NOUN
быстрая	ADJ
минуту	NOUN
скрылась	VERB
кабинете	NOUN
проговорила	VERB
вернувшись	VERB
товарищ	NOUN
ефимова	PROPN
пожалуйста	PART
молодая	ADJ
женщина	NOUN
кокетливой	ADJ
шляпке	NOUN
прошла	VERB
она	PRON
видимо	ADV
волновалась	VERB
потому	ADV
что	PRON
забыла	VERB
закрыть	VERB
собой	PRON
обе	NUM
обитые	VERB
черной	ADJ
клеенкой	NOUN
медленно	ADV
склонив	VERB
по	ADP
привычке	NOUN
голову	NOUN
набок	ADV
садитесь	VERB
сказал	VERB
он	PRON
поднимая	VERB
глаз	NOUN
села	VERB
краешек	NOUN
холодного	ADJ
посмотрела	VERB
сквозь	ADP
бронзовый	ADJ
забор	NOUN
чернильного	ADJ
прибора	NOUN
него	PRON
полное	ADJ
симпатичное	ADJ
лицо	NOUN
некурящего	ADJ
человека	NOUN
белые	ADJ
совершенно	ADV
седые	ADJ
волосы	NOUN
да	CCONJ
я	PRON
вас	PRON
слушаю	VERB
продолжая	VERB
писать	VERB
моя	DET
фамилия	NOUN
тихо	ADV
кашлянув	VERB
начала	NOUN
давно	ADV
приготовленную	VERB
отредактированную	VERB
уме	NOUN
фразу	NOUN
неделю	NOUN
тому	PRON
назад	ADV
вопросу	NOUN
устройства	NOUN
вы	PRON
взяли	VERB
мою	DET
автобиографию	NOUN
анкету	NOUN
предложили	VERB
мне	PRON
прийти	VERB
сегодня	ADV
…	PUNCT
молча	ADV
взглянула	VERB
будто	PART
понимая	VERB
надо	VERB
сесть	VERB
подождать	VERB
отозвался	VERB
начальнику	NOUN
трудно	ADJ
переключить	VERB
внимание	NOUN
лежала	VERB
копия	NOUN
жалобы	NOUN
жителей	NOUN
веселого	ADJ
плохую	ADJ
трансляционной	ADJ
сети	NOUN
жалоба	NOUN
каким-то	DET
образом	NOUN
попала	VERB
москву	PROPN
оттуда	ADV
пришла	VERB
эта	DET
вместе	ADV
ней	PRON
распоряжение	NOUN
котором	PRON
предлагалось	VERB
немедленно	ADV
ликвидировать	VERB
перебои	NOUN
наказать	VERB
виновных	ADJ
доложить	VERB
об	ADP
исполнении	NOUN
к	ADP
такому-то	ADJ
числу	NOUN
число	NOUN
это	PRON
вчера	ADV
прошло	VERB
написано	VERB
резко	ADV
содержало	VERB
обидные	ADJ
намеки	NOUN
плохое	ADJ
руководство	NOUN
такие	DET
письма	NOUN
составлял	VERB
ответы	NOUN
сам	DET
первую	ADJ
очередь	NOUN
положено	ADJ
вывел	VERB
верхнем	ADJ
гриф	NOUN
секретно	ADJ
затем	ADV
написал	VERB
летом	NOUN
трансляционная	ADJ
сеть	NOUN
некоторых	DET
районах	NOUN
области	NOUN
работала	VERB
недостаточно	ADV
четко	ADV
тем	PRON
линии	NOUN
перегорали	VERB
трансформаторы	NOUN
лето	NOUN
изобиловало	VERB
грозами	NOUN
своевременно	ADV
исправлять	VERB
повреждения	NOUN
удавалось	VERB
трем	NUM
причинам	NOUN
во-первых	ADV
заявка	NOUN
специалистов	NOUN
посланная	VERB
номером	NOUN
таким-то	ADJ
удовлетворена	VERB
более	ADV
чем	PRON
процентов	NOUN
линейные	ADJ
кадры	NOUN
до	ADP
сих	DET
пор	NOUN
укомплектованы	VERB
во-вторых	ADV
тормозили	VERB
неблагоприятные	ADJ
метеорологические	ADJ
условия	NOUN
в-третьих	ADV
повторил	VERB
несколько	NUM
раздражаясь	VERB
от	ADP
третья	ADJ
причина	NOUN
улетучилась	VERB
памяти	NOUN
конечно	ADV
этом	PRON
нет	VERB
ничего	PRON
удивительного	ADJ
каждому	DET
кто	PRON
работает	VERB
или	CCONJ
менее	ADV
ответственной	ADJ
должности	NOUN
понятно	ADJ
рассеивается	VERB
находятся	VERB
посторонние	ADJ
только	PART
юлий	PROPN
цезарь	NOUN
мог	VERB
одновременно	ADV
читать	VERB
без	ADP
конспекта	NOUN
произносить	VERB
речи	NOUN
древнем	ADJ
риме	PROPN
требования	NOUN
тогда	ADV
были	VERB
другие	DET
назойливая	ADJ
насчет	ADP
вам	PRON
придется	VERB
пройти	VERB
отдел	NOUN
кадров	NOUN
заполнить	VERB
мягко	ADV
ответил	VERB
автобиография	NOUN
ваша	DET
порывшись	VERB
нижнем	ADJ
ящике	NOUN
стола	NOUN
вынул	VERB
папку	NOUN
надписью	NOUN
документы	NOUN
ефимовой	PROPN
действительно	ADV
находились	VERB
анкете	NOUN
сказано	VERB
евгения	PROPN
васильевна	PROPN
женского	ADJ
пола	NOUN
русская	ADJ
родилась	VERB
1922	NUM
году	NOUN
семье	NOUN
рабочего	ADJ
1940	ADJ
поступила	VERB
ленинградский	ADJ
институт	NOUN
окончила	VERB
отличием	NOUN
получила	VERB
квалификацию	NOUN
инженера	NOUN
электрика	NOUN
радиосвязи	NOUN
работники	NOUN
такой	DET
специальности	NOUN
нашей	DET
системе	NOUN
нужны	ADJ
позарез	ADV
стал	VERB
внимательнее	ADJ
автобиографии	NOUN
уточнялось	VERB
занятия	NOUN
институте	NOUN
прервала	VERB
войной	NOUN
защитила	VERB
диплом	NOUN
1950	ADJ
1952	ADJ
вышла	VERB
замуж	ADV
1953	ADJ
развелась	VERB
буквы	NOUN
д	ADV
коротенькой	ADJ
одну	DET
страничку	NOUN
торчали	VERB
вверх	ADV
хвостиками	NOUN
заметив	VERB
эти	DET
смешные	ADJ
хвостики	NOUN
вспомнил	VERB
недавно	ADV
держал	VERB
руках	NOUN
эту	DET
вспомнив	VERB
робкой	ADJ
худенькой	ADJ
женщины	NOUN
неприятную	ADJ
историю	NOUN
связанную	VERB
ее	PRON
делом	NOUN
оторвавшись	VERB
бумаг	NOUN
взглянул	VERB
ефимову	PROPN
губы	NOUN
неумело	ADV
накрашены	VERB
специально	ADV
этого	DET
случая	NOUN
такое	DET
легкомыслие	NOUN
могло	VERB
произвести	VERB
неблагоприятного	ADJ
впечатления	NOUN
ну	PART
народ	NOUN
меня	PRON
отделе	NOUN
подумал	VERB
боятся	VERB
ответственности	NOUN
черти	NOUN
ладана	NOUN
сложность	NOUN
вопроса	NOUN
заключалась	VERB
во	ADP
время	NOUN
войны	NOUN
находилась	VERB
оккупации	NOUN
из-за	ADP
обстоятельства	NOUN
перекочевали	VERB
несгораемого	ADJ
шкафа	NOUN
отдела	NOUN
прошлую	ADJ
среду	NOUN
попросил	VERB
зайти	VERB
через	ADP
после	ADP
окончания	NOUN
института	NOUN
года	NOUN
линейным	ADJ
инженером	NOUN
радиоузле	NOUN
савельева	PROPN
уволилась	VERB
семейным	ADJ
обстоятельствам	NOUN
собирался	VERB
позвонить	VERB
савельеву	PROPN
который	PRON
занимал	VERB
теперь	ADV
же	PART
пост	NOUN
соседней	ADJ
узнать	VERB
о	INTJ
деловых	ADJ
качествах	NOUN
савельев	PROPN
похвалит	VERB
чистой	ADJ
совестью	NOUN
отказать	VERB
ей	PRON
покончить	VERB
этим	DET
щекотливым	ADJ
вопросом	NOUN
загруженный	VERB
текучкой	NOUN
успел	VERB
сделать	VERB
евгению	PROPN
васильевну	PROPN
недельку	NOUN
заказал	VERB
междугородный	ADJ
разговор	NOUN
несерьезно	ADJ
отнесся	VERB
честный	ADJ
квалифицированный	ADJ
работник	NOUN
выразил	VERB
готовность	NOUN
дать	VERB
характеристику	NOUN
кажется	VERB
тебе	PRON
спросил	VERB
слабовольная	ADJ
какая-то	DET
бесхарактерная	ADJ
пугливая	ADJ
казалось	VERB
мнению	NOUN
настойчива	ADJ
требовательна	ADJ
бытовой	ADJ
женится	VERB
разводится	VERB
как-то	ADV
объяснил	VERB
диктора	NOUN
районного	ADJ
радиоузла	NOUN
муж	NOUN
настоял	VERB
бросила	VERB
вскоре	ADV
стало	VERB
известно	ADJ
где-то	ADV
деревне	NOUN
остались	VERB
жена	NOUN
ребенок	NOUN
по-моему	ADV
правильно	ADV
сделала	VERB
добавил	VERB
уже	ADV
пол	NOUN
вот	PART
изучать	VERB
своих	DET
работников	NOUN
ты	PRON
бери	VERB
закричал	VERB
пожалеешь	VERB
закончился	VERB
рассуждать	VERB
поскольку	SCONJ
прибыла	VERB
нему	PRON
направлением	NOUN
главка	NOUN
должен	ADJ
брать	VERB
свою	DET
личную	ADJ
ответственность	NOUN
формально	ADV
зачисления	NOUN
препятствий	NOUN
взглянуть	VERB
вопрос	NOUN
поглубже	ADV
все-таки	PART
чистая	ADJ
возьмешь	VERB
потом	ADV
оберешься	VERB
неприятностей	NOUN
приедет	VERB
например	ADV
ревизия	NOUN
поднимет	VERB
личные	ADJ
дела	NOUN
неприятность	NOUN
техническом	ADJ
один	DET
дворян	NOUN
происхождению	NOUN
другой	DET
революции	NOUN
черт	NOUN
знает	VERB
кем	PRON
чуть	ADV
ли	PART
дьяконом	NOUN
общем	ADJ
масти	NOUN
тут	ADV
скажут	VERB
почему	ADV
перегорают	VERB
окружили	VERB
себя	PRON
негодными	ADJ
людьми	NOUN
притупилась	VERB
бдительность	NOUN
ротозейство	NOUN
пришьют	VERB
опять	ADV
сидела	VERB
положением	NOUN
живу	VERB
папой	NOUN
мамой	NOUN
заговорила	VERB
кирпичной	ADJ
улице	NOUN
дом	NOUN
там	ADV
возле	ADP
первомайского	ADJ
садика	NOUN
маленький	ADJ
домик	NOUN
крайних	ADJ
окна	NOUN
наши	DET
остальные	ADJ
соседей	NOUN
мама	NOUN
кирпичном	ADJ
заводе	NOUN
папа	NOUN
совсем	ADV
старенький	ADJ
инвалид	NOUN
приходится	VERB
возить	VERB
коляске	NOUN
ручная	ADJ
коляска	NOUN
такая	DET
легонькая	ADJ
рычагами	NOUN
слабенький	ADJ
рычаги	NOUN
может	VERB
двигать	VERB
бы	AUX
ему	PRON
моторную	ADJ
заказать	VERB
наша	DET
промышленность	NOUN
изготовляет	VERB
моторные	ADJ
просили	VERB
дают	VERB
требуют	VERB
целую	ADJ
кучу	NOUN
справок	NOUN
постановка	NOUN
возмутила	VERB
какое	DET
безобразие	NOUN
настойчивей	ADV
действуйте	VERB
напишите	VERB
газету	NOUN
крайнем	ADJ
случае	NOUN
спасибо	NOUN
знаете	VERB
ведь	PART
папы	NOUN
уехала	VERB
взял	VERB
значит	VERB
отъезд	NOUN
можете	VERB
сами	DET
понимаете	VERB
жаль	VERB
подобрал	VERB
периферии	NOUN
где	ADV
селе	NOUN
веселом	ADJ
линейный	ADJ
инженер	NOUN
нужен	ADJ
далеко	ADV
село	NOUN
около	ADP
сотни	NOUN
километров	NOUN
отсюда	ADV
сто	NUM
двенадцать	NUM
туда	ADV
никак	ADV
смогу	VERB
сказала	VERB
со	ADP
свойственной	ADJ
большинству	NOUN
несговорчивостью	NOUN
нельзя	VERB
где-нибудь	ADV
поближе	ADV
согласна	ADJ
ездить	VERB
вечерами	NOUN
быть	VERB
дома	NOUN
разве	PART
понимаю	VERB
улыбнулся	VERB
представляю	VERB
ваше	DET
положение	NOUN
свое	DET
тоже	ADV
отцом	NOUN
намучился	VERB
нисколько	ADV
мучаюсь	VERB
появится	VERB
сказать	VERB
зайдите	VERB
снова	ADV
раз	NOUN
сильном	ADJ
возбуждении	NOUN
мяла	VERB
кулаке	NOUN
кружевной	ADJ
платочек	NOUN
моим	DET
спросила	VERB
сознательно	ADV
называя	VERB
имени	NOUN
отчеству	NOUN
пока	SCONJ
кроме	ADP
тактично	ADV
обращая	VERB
внимания	NOUN
тон	NOUN
передо	ADP
мной	PRON
печатала	VERB
приказ	NOUN
назначении	NOUN
техника	NOUN
городской	ADJ
узел	NOUN
вакансии	NOUN
вероятно	ADV
есть	AUX
говорили	VERB
неправду	NOUN
какой-нибудь	DET
руководитель	NOUN
учреждения	NOUN
ответ	NOUN
выпад	NOUN
быстро	ADV
призвал	VERB
посетителя	NOUN
порядку	NOUN
ни	PART
кричать	VERB
браниться	VERB
встал	VERB
своего	DET
стула	NOUN
сдержанно	ADV
догадываюсь	VERB
встала	VERB
бледные	ADJ
щеки	NOUN
покрылись	VERB
пятнами	NOUN
пугает	VERB
при	ADP
оккупация	NOUN
сел	VERB
поправил	VERB
стопку	NOUN
папок	NOUN
письменном	ADJ
полный	ADJ
блестящий	ADJ
порядок	NOUN
оказывался	VERB
неочиненный	ADJ
карандаш	NOUN
неполная	ADJ
чернильница	NOUN
вызывал	VERB
секретаршу	NOUN
делал	VERB
соответствующее	ADJ
внушение	NOUN
разрешите	VERB
объясню	VERB
унималась	VERB
самом	DET
начале	NOUN
эвакуировался	VERB
пятигорск	PROPN
осажденного	VERB
ленинграда	PROPN
пятигорске	PROPN
мы	PRON
продолжали	VERB
фронт	NOUN
пододвинулся	VERB
нас	PRON
дня	NOUN
обещали	VERB
перевезти	VERB
среднюю	ADJ
азию	PROPN
успели	VERB
ребята	NOUN
посмелей	ADJ
уехали	VERB
крышах	NOUN
подножках	NOUN
могла	VERB
вокзале	NOUN
билетов	NOUN
достать	VERB
чужие	ADJ
эшелоны	NOUN
пускали	VERB
пошли	VERB
пешком	ADV
тяжелое	ADJ
помню	VERB
вздохнул	VERB
самого	DET
крыма	PROPN
последнюю	ADJ
вывезли	VERB
папки	NOUN
вывезти	VERB
центра	NOUN
выехать	VERB
уж	ADV
мечтал	VERB
связаться	VERB
партизанами	NOUN
натура	NOUN
детства	NOUN
партизанская	ADJ
вышло	VERB
хотела	VERB
знала	VERB
они	PRON
помещаются	VERB
какая	DET
партизанка	NOUN
долго	ADV
немцев	NOUN
пять	NUM
месяцев	NOUN
пришлось	VERB
работать	VERB
учительницей	NOUN
чем-нибудь	PRON
жить	VERB
виновата	ADJ
пошла	VERB
партизаны	NOUN
сейчас	ADV
любой	DET
стала	VERB
технической	ADJ
все	PRON
равно	ADJ
берут	VERB
перестраховщики	NOUN
указание	NOUN
высшим	ADJ
образованием	NOUN
имеют	VERB
права	NOUN
держать	VERB
рядовой	ADJ
работе	NOUN
улыбайтесь	VERB
правильное	ADJ
учили	VERB
тратили	VERB
деньги	NOUN
должны	ADJ
полную	ADJ
силу	NOUN
между	ADP
прочим	PRON
доучивалась	VERB
дирекция	NOUN
узкую	ADJ
дали	VERB
специальность	NOUN
пыталась	VERB
переменить	VERB
подавала	VERB
заявление	NOUN
иностранных	ADJ
языков	NOUN
сказали	VERB
высшее	ADJ
образование	NOUN
поэтому	ADV
будем	AUX
рассматривать	VERB
останутся	VERB
места	NOUN
хотят	VERB
иметь	VERB
делать	VERB
прямо	PART
знаю	VERB
лучше	ADJ
руки	NOUN
ноги	NOUN
куда-то	ADV
пространство	NOUN
ехать	VERB
веселое	ADJ
терпеливо	ADV
сначала	ADV
поезде	NOUN
автобусом	NOUN
автобусной	ADJ
станции	NOUN
километра	NOUN
три	NUM
больше	ADV
следует	VERB
виду	NOUN
автобусы	NOUN
зимой	NOUN
ходят	VERB
нерегулярно	ADV
особенно	ADV
снежных	ADJ
заносов	NOUN
билеты	NOUN
поезд	NOUN
свой	DET
счет	NOUN
транспорт	NOUN
нормальный	ADJ
поводу	NOUN
жилья	NOUN
утешительного	ADJ
единственная	ADJ
возможность	NOUN
снять	VERB
частную	ADJ
квартиру	NOUN
вышел	VERB
попрощался	VERB
предложил	VERB
всякий	DET
случай	NOUN
две	NUM
недели	NOUN
радостная	ADJ
устроилось	VERB
поздоровавшись	VERB
директор	NOUN
кирпичного	ADJ
завода	NOUN
моей	DET
просьбе	NOUN
перевел	VERB
маму	NOUN
вторую	ADJ
смену	NOUN
утрам	NOUN
нам	PRON
будет	AUX
приходить	VERB
девушка	NOUN
дальняя	ADJ
родственница	NOUN
приехала	VERB
деревни	NOUN
готовить	VERB
обед	NOUN
убираться	VERB
воскресеньям	NOUN
стану	VERB
приезжать	VERB
домой	ADV
устроились	VERB
поеду	VERB
ах	INTJ
опустил	VERB
глаза	NOUN
видите	VERB
тянуть	VERB
столько	NUM
времени	NOUN
штаты	NOUN
поднялась	VERB
оглядываться	VERB
вокруг	ADP
вдруг	ADV
отвернувшись	VERB
закрыла	VERB
руками	NOUN
выбежала	VERB
закрывать	VERB
приходила	VERB
обратил	VERB
особенного	ADJ
постепенно	ADV
забыл	VERB
докучливой	ADJ
посетительнице	NOUN
наводя	VERB
наткнулся	VERB
коротенькую	ADJ
пробежав	VERB
глазами	NOUN
строчки	NOUN
смешными	ADJ
буквах	NOUN
женщину	NOUN
перьями	NOUN
задумался	VERB
случилось	VERB
устроилась	VERB
вряд	ADV
справки	NOUN
характеристики	NOUN
здесь	ADV
нее	PRON
узкая	ADJ
отправилась	VERB
жаловаться	VERB
добралась	VERB
министра	NOUN
ожидать	VERB
строгого	ADJ
запроса	NOUN
людей	NOUN
вникающих	VERB
суть	NOUN
каком	DET
основании	NOUN
зачисляется	VERB
мол	PART
пишете	VERB
хватает	VERB
специалисты	NOUN
обивают	VERB
ваши	DET
пороги	NOUN
ответить	VERB
запрос	NOUN
вызвал	VERB
разбирая	VERB
поинтересовался	VERB
записывалась	VERB
прием	NOUN
худенькая	ADJ
фамилии	NOUN
списках	NOUN
вспомнился	VERB
давний	ADJ
женщиной	NOUN
которую	PRON
принимали	VERB
оказался	VERB
замешанным	ADJ
какую-то	DET
непонятную	ADJ
арестован	VERB
написала	VERB
мытарствах	NOUN
куда	ADV
бросилась	VERB
реку	NOUN
хотя	SCONJ
произошел	VERB
много	NUM
лет	NOUN
оставить	VERB
следа	NOUN
впечатлительной	ADJ
натуре	NOUN
нервничать	VERB
прошлом	ADJ
приезжали	VERB
представители	NOUN
появились	VERB
красные	ADJ
пятнышки	NOUN
неизвестностью	NOUN
приказал	VERB
послать	VERB
пользующегося	VERB
доверием	NOUN
сотрудника	NOUN
посоветовавшись	VERB
спохватился	VERB
отменил	VERB
случаях	NOUN
посещение	NOUN
выглядело	VERB
странным	ADJ
меньшей	ADJ
мере	NOUN
несолидным	ADJ
наконец	ADV
решил	VERB
думать	VERB
дожидаться	VERB
душевного	ADJ
равновесия	NOUN
смутная	ADJ
тревога	NOUN
каждым	DET
днем	NOUN
звучала	VERB
сильней	ADJ
отзывчивом	ADJ
сердце	NOUN
стучать	VERB
кулаком	NOUN
столу	NOUN
пометить	VERB
важной	ADJ
бумаге	NOUN
чего	PRON
раньше	ADV
никогда	ADV
случалось	VERB
однажды	ADV
возвращаясь	VERB
заседания	NOUN
подъехал	VERB
велел	VERB
шоферу	NOUN
дождаться	VERB
углом	NOUN
подошел	VERB
дому	NOUN
номер	NOUN
темный	ADJ
сентябрьский	ADJ
вечер	NOUN
уличный	ADJ
фонарь	NOUN
освещал	VERB
бревенчатые	ADJ
стены	NOUN
одноэтажного	ADJ
домика	NOUN
выщербленный	VERB
кирпичный	ADJ
фундамент	NOUN
шелушащиеся	VERB
старой	ADJ
краски	NOUN
ставни	NOUN
железный	ADJ
скрипящий	VERB
ветру	NOUN
навес	NOUN
крыльца	NOUN
неровные	ADJ
створки	NOUN
парадной	ADJ
щелью	NOUN
писем	NOUN
заткнутой	VERB
тряпками	NOUN
стен	PROPN
болтались	VERB
бечевки	NOUN
которым	PRON
когда-то	ADV
вился	VERB
хмель	NOUN
густо	ADV
росла	VERB
крапива	NOUN
желтоватые	ADJ
поблекшие	VERB
прутья	NOUN
пробивались	VERB
ступенями	NOUN
очевидно	ADJ
парадная	ADJ
дверь	NOUN
заколочена	VERB
жители	NOUN
ходили	VERB
двор	NOUN
черным	ADJ
ходом	NOUN
домике	NOUN
ярко	ADV
освещены	VERB
двух	NUM
которых	PRON
говорила	VERB
света	NOUN
черные	ADJ
стекла	NOUN
мрачно	ADJ
смотрели	VERB
пустынной	ADJ
холоде	NOUN
размышляя	VERB
сколько	ADV
мелких	ADJ
случайностей	NOUN
мешают	VERB
нормальной	ADJ
руководить	VERB
большим	ADJ
коллективом	NOUN
выдержки	NOUN
требуется	VERB
руководителя	NOUN
зябко	ADV
поежился	VERB
пошел	VERB
машине	NOUN
утром	NOUN
поднялся	VERB
головной	ADJ
болью	NOUN
позавтракав	VERB
поехал	VERB
своему	DET
удивлению	NOUN
увидел	VERB
просила	VERB
включить	VERB
фамилию	NOUN
список	NOUN
сегодняшнего	ADJ
приема	NOUN
выглядела	VERB
смелой	ADJ
решительной	ADJ
лице	NOUN
играл	VERB
свежий	ADJ
молодой	ADJ
румянец	NOUN
какой	DET
воскликнул	VERB
переносивший	VERB
формализмы	NOUN
пойдемте	VERB
взяв	VERB
ввел	VERB
своими	DET
документами	NOUN
отстраняясь	VERB
секрет	NOUN
узнал	VERB
моем	DET
положении	NOUN
прислал	VERB
письмо	NOUN
обещает	VERB
первое	ADJ
комнату	NOUN
общежитии	NOUN
год	NOUN
ж	PART
счастливого	ADJ
пути	NOUN
искренно	ADJ
радуясь	VERB
придерживал	VERB
заходили	VERB
городе	NOUN
ездила	VERB
копать	VERB
картошку	NOUN
угораздило	VERB
послали	VERB
поехала	VERB
вместо	ADP
кстати	ADV
семьдесят	NUM
видела	VERB
творится	VERB
монтеры	NOUN
торгуют	VERB
казенным	ADJ
проводом	NOUN
говорят	VERB
легковерным	ADJ
абонентам	NOUN
складе	NOUN
материалов	NOUN
якобы	PART
достают	VERB
провод	NOUN
ввода	NOUN
смотрит	VERB
некому	PRON
смотреть	VERB
линейного	ADJ
беспорядок	NOUN
бумажки	NOUN
читаете	VERB
повернулась	VERB
попрощавшись	VERB
какие	DET
нервные	ADJ
несдержанные	ADJ
снисходительно	ADV
покачал	VERB
головой	NOUN
потянулся	VERB
папке	NOUN
которой	PRON
переписка	NOUN
вышестоящими	ADJ
инстанциями	NOUN
военные	NOUN
конструкторы	NOUN
ученые	NOUN
многих	ADJ
армий	NOUN
мира	NOUN
уделяют	VERB
огромное	ADJ
затрачивают	VERB
огромные	ADJ
средства	NOUN
создания	NOUN
сложных	ADJ
дорогих	ADJ
систем	NOUN
высокоточного	ADJ
оружия	NOUN
полного	ADJ
уничтожения	NOUN
цели	NOUN
исключения	NOUN
потерь	NOUN
мирного	ADJ
населения	NOUN
настоящее	ADJ
большое	ADJ
значение	NOUN
придается	VERB
разработкам	NOUN
новых	ADJ
видов	NOUN
смертельного	ADJ
которое	PRON
использоваться	VERB
военных	NOUN
конфликтах	NOUN
современных	ADJ
войн	NOUN
таковы	ADJ
несмертельное	ADJ
оружие	NOUN
позволяет	VERB
пленить	VERB
противника	NOUN
существенно	ADV
уменьшить	VERB
боеспособность	NOUN
потери	NOUN
стороны	NOUN
новейших	ADJ
конструкциях	NOUN
несмертельного	ADJ
используются	VERB
традиционные	ADJ
решения	NOUN
арсенала	NOUN
стрелкового	ADJ
вооружения	NOUN
новые	ADJ
биофизические	ADJ
эффекты	NOUN
достижения	NOUN
химии	NOUN
биохимии	NOUN
электроники	NOUN
других	DET
прикладных	ADJ
наук	NOUN
украинское	ADJ
научно	ADJ
производственное	ADJ
предприятие	NOUN
валар	PROPN
создало	VERB
новый	ADJ
переносной	ADJ
комплекс	NOUN
коба	PROPN
обеспечения	NOUN
боевых	ADJ
действий	NOUN
сил	NOUN
специального	ADJ
назначения	NOUN
новое	ADJ
эффективно	ADJ
ведения	NOUN
охранных	ADJ
мероприятий	NOUN
защиты	NOUN
блокпостов	NOUN
границ	NOUN
успешно	ADV
полицейскими	NOUN
подразделениями	NOUN
борьбы	NOUN
антиправительственными	ADJ
демонстрантами	NOUN
уличными	ADJ
беспорядками	NOUN
конструктивно	ADJ
выполнен	VERB
виде	NOUN
трансформируемого	VERB
компактного	ADJ
контейнера	NOUN
переносится	VERB
спине	NOUN
одним	DET
бойцом	NOUN
сложенном	VERB
снаряжен	VERB
двумя	NUM
зарядами	NOUN
дополнительный	ADJ
боекомплект	NOUN
переноситься	VERB
ранце	NOUN
изделие	NOUN
выполняет	VERB
функций	NOUN
присущих	ADJ
артиллерийской	ADJ
малого	ADJ
калибра	NOUN
также	PART
переносному	ADJ
контейнеру	NOUN
электронным	ADJ
оборудованием	NOUN
помимо	ADP
корпуса	NOUN
конструкция	NOUN
имеет	VERB
интеллектуальную	ADJ
начинку	NOUN
снабжен	VERB
встроенными	VERB
прицельными	ADJ
приспособлениями	NOUN
элементами	NOUN
выверки	NOUN
положения	NOUN
грунте	NOUN
лазерным	ADJ
целеуказателем	NOUN
автономным	ADJ
питанием	NOUN
другими	DET
высокоточной	ADJ
стрельбы	NOUN
наличие	NOUN
лазерного	ADJ
целеуказателя	NOUN
обеспечивает	VERB
точность	NOUN
оперативность	NOUN
прицеливания	NOUN
поражения	NOUN
первого	ADJ
выстрела	NOUN
необходимости	NOUN
контейнер	NOUN
течение	NOUN
нескольких	NUM
секунд	NOUN
раскладывается	VERB
пусковую	ADJ
установку	NOUN
управление	NOUN
стрельбой	NOUN
электрическое	ADJ
кабелю	NOUN
посредством	ADP
дистанционного	ADJ
пульта	NOUN
прицеливание	NOUN
стрельбе	NOUN
производится	VERB
вручную	ADV
путем	ADP
изменения	NOUN
наклона	NOUN
стволов	NOUN
горизонтального	ADJ
уровня	NOUN
грунта	NOUN
прицельное	ADJ
